cod_municipio_ibge,nome_municipio,uf,estado,mesorregiao,regiao_brasil
3503208.0,Araraquara,SP,São Paulo,Araraquara,Sudeste
3506102.0,Bebedouro,SP,São Paulo,Ribeirão Preto,Sudeste
3526902.0,Limeira,SP,São Paulo,Piracicaba,Sudeste
3529302.0,Matão,SP,São Paulo,Araraquara,Sudeste
3507407.0,Borborema,SP,São Paulo,Araraquara,Sudeste
3522703.0,Itápolis,SP,São Paulo,Araraquara,Sudeste
3533502.0,Novo Horizonte,SP,São Paulo,São José do Rio Preto,Sudeste
3552601.0,Tabapuã,SP,São Paulo,São José do Rio Preto,Sudeste
3511102.0,Catanduva,SP,São Paulo,São José do Rio Preto,Sudeste
3530300.0,Mirassol,SP,São Paulo,São José do Rio Preto,Sudeste
3170206.0,Uberlândia,MG,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,Sudeste
3170107.0,Uberaba,MG,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,Sudeste
3148004.0,Patos De Minas,MG,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,Sudeste
3127107.0,Frutal,MG,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,Sudeste
3134202.0,Ituiutaba,MG,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,Sudeste
3156908.0,Sacramento,MG,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,Sudeste
3104007.0,Araxá,MG,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,Sudeste
3147105.0,Pará De Minas,MG,Minas Gerais,Metropolitana de Belo Horizonte,Sudeste
3167202.0,Sete Lagoas,MG,Minas Gerais,Metropolitana de Belo Horizonte,Sudeste
3122306.0,Divinópolis,MG,Minas Gerais,Oeste de Minas,Sudeste
4113700.0,Londrina,PR,Paraná,Norte Central Paranaense,Sul
4115200.0,Maringá,PR,Paraná,Norte Central Paranaense,Sul
4104808.0,Cascavel,PR,Paraná,Oeste Paranaense,Sul
4108304.0,Foz Do Iguaçu,PR,Paraná,Oeste Paranaense,Sul
4109401.0,Guarapuava,PR,Paraná,Centro-Sul Paranaense,Sul
4119905.0,Ponta Grossa,PR,Paraná,Centro Oriental Paranaense,Sul
4101408.0,Apucarana,PR,Paraná,Norte Central Paranaense,Sul
4104303.0,Campo Mourão,PR,Paraná,Centro Ocidental Paranaense,Sul
4118402.0,Paranavaí,PR,Paraná,Noroeste Paranaense,Sul
4128104.0,Umuarama,PR,Paraná,Noroeste Paranaense,Sul
2918407.0,Juazeiro,BA,Bahia,Vale São-Franciscano da Bahia,Nordeste
,Petrolina,BA,Bahia,,
2910800.0,Feira De Santana,BA,Bahia,Centro Norte Baiano,Nordeste
2933307.0,Vitória Da Conquista,BA,Bahia,Centro Sul Baiano,Nordeste
2903201.0,Barreiras,BA,Bahia,Extremo Oeste Baiano,Nordeste
2913606.0,Ilhéus,BA,Bahia,Sul Baiano,Nordeste
2914802.0,Itabuna,BA,Bahia,Sul Baiano,Nordeste
2918001.0,Jequié,BA,Bahia,Centro Sul Baiano,Nordeste
2909802.0,Cruz Das Almas,BA,Bahia,Metropolitana de Salvador,Nordeste
2928703.0,Santo Antônio De Jesus,BA,Bahia,Metropolitana de Salvador,Nordeste
5208707.0,Goiânia,GO,Goiás,Centro Goiano,Centro-Oeste
