cod_municipio_ibge,cod_produto,produto,ano,qtd_produzida_ton,area_colhida_ha,valor_producao_reais,produtividade_ton_ha,uf,municipio
3503208.0,41151,Laranja,2015,59762.0,3040.0,30576052.0,19.6586,SP,Araraquara
3503208.0,41151,Laranja,2016,48091.0,3032.0,42397746.0,15.8611,SP,Araraquara
3503208.0,41151,Laranja,2017,51414.0,3440.0,51776257.0,14.9459,SP,Araraquara
3503208.0,41151,Laranja,2018,48244.0,3127.0,33152480.0,15.4282,SP,Araraquara
3503208.0,41151,Laranja,2019,63018.0,2934.0,39987607.0,21.4785,SP,Araraquara
3503208.0,41151,Laranja,2020,58316.0,3378.0,69289742.0,17.2635,SP,Araraquara
3503208.0,41151,Laranja,2021,49333.0,3111.0,46182601.0,15.8576,SP,Araraquara
3503208.0,41151,Laranja,2022,50813.0,3179.0,31298687.0,15.984,SP,Araraquara
3503208.0,41151,Laranja,2023,47410.0,3410.0,49497777.0,13.9032,SP,Araraquara
3503208.0,41155,Limão,2015,11734.0,2754.0,14578234.0,4.2607,SP,Araraquara
3503208.0,41155,Limão,2016,13717.0,2492.0,12441991.0,5.5044,SP,Araraquara
3503208.0,41155,Limão,2017,10604.0,2608.0,18121293.0,4.066,SP,Araraquara
3503208.0,41155,Limão,2018,14006.0,2727.0,8628724.0,5.136,SP,Araraquara
3503208.0,41155,Limão,2019,10612.0,2510.0,13108082.0,4.2279,SP,Araraquara
3503208.0,41155,Limão,2020,13776.0,2732.0,14021525.0,5.0425,SP,Araraquara
3503208.0,41155,Limão,2022,11386.0,2319.0,20827424.0,4.9099,SP,Araraquara
3503208.0,41155,Limão,2023,13175.0,2679.0,10273180.0,4.9179,SP,Araraquara
3503208.0,41176,Tangerina,2015,2456.0,676.0,3925003.0,3.6331,SP,Araraquara
3503208.0,41176,Tangerina,2016,2082.0,595.0,,3.4992,SP,Araraquara
3503208.0,41176,Tangerina,2017,1949.0,590.0,2071007.0,3.3034,SP,Araraquara
3503208.0,41176,Tangerina,2018,2550.0,661.0,2397500.0,3.8578,SP,Araraquara
3503208.0,41176,Tangerina,2019,2202.0,699.0,1488198.0,3.1502,SP,Araraquara
3503208.0,41176,Tangerina,2020,1980.0,611.0,2674584.0,3.2406,SP,Araraquara
3503208.0,41176,Tangerina,2021,2495.0,698.0,,3.5745,SP,Araraquara
3503208.0,41176,Tangerina,2022,2074.0,639.0,2642072.0,3.2457,SP,Araraquara
3503208.0,41176,Tangerina,2023,2187.0,707.0,3716109.0,3.0934,SP,Araraquara
3503208.0,41160,Pomelo,2015,1000.0,121.0,681876.0,8.2645,SP,Araraquara
3503208.0,41160,Pomelo,2017,1243.0,126.0,,9.8651,SP,Araraquara
3503208.0,41160,Pomelo,2018,1136.0,124.0,1096321.0,9.1613,SP,Araraquara
3503208.0,41160,Pomelo,2020,979.0,125.0,681685.0,7.832,SP,Araraquara
3503208.0,41160,Pomelo,2021,1287.0,136.0,1725245.0,9.4632,SP,Araraquara
3503208.0,41160,Pomelo,2022,1027.0,139.0,1683646.0,7.3885,SP,Araraquara
3503208.0,41160,Pomelo,2023,1240.0,129.0,1179946.0,9.6124,SP,Araraquara
3506102.0,41151,Laranja,2015,88762.0,3877.0,,22.8945,SP,Bebedouro
3506102.0,41151,Laranja,2016,95558.0,4399.0,79931613.0,21.7227,SP,Bebedouro
3506102.0,41151,Laranja,2017,95997.0,4312.0,104498692.0,22.2628,SP,Bebedouro
3506102.0,41151,Laranja,2018,95587.0,3994.0,85696537.0,23.9326,SP,Bebedouro
3506102.0,41151,Laranja,2019,95512.0,3684.0,94485396.0,25.9262,SP,Bebedouro
3506102.0,41151,Laranja,2020,78532.0,4304.0,38203972.0,18.2463,SP,Bebedouro
3506102.0,41151,Laranja,2022,88883.0,3989.0,105319222.0,22.282,SP,Bebedouro
3506102.0,41151,Laranja,2023,97753.0,3880.0,47578539.0,25.1941,SP,Bebedouro
3506102.0,41155,Limão,2015,16084.0,2600.0,19469368.0,6.1862,SP,Bebedouro
