cod_municipio_ibge,nome_municipio,uf,mesorregiao,regiao_brasil
2900108,Abaíra,BA,Centro Sul Baiano,Nordeste
2900207,Abaré,BA,Vale São-Franciscano da Bahia,Nordeste
2900306,Acajutiba,BA,Nordeste Baiano,Nordeste
2900355,Adustina,BA,Nordeste Baiano,Nordeste
2900405,Água Fria,BA,Centro Norte Baiano,Nordeste
2900603,Aiquara,BA,Centro Sul Baiano,Nordeste
2900702,Alagoinhas,BA,Nordeste Baiano,Nordeste
2900801,Alcobaça,BA,Sul Baiano,Nordeste
2900900,Almadina,BA,Sul Baiano,Nordeste
2901007,Amargosa,BA,Centro Sul Baiano,Nordeste
2901106,Amélia Rodrigues,BA,Metropolitana de Salvador,Nordeste
2901155,América Dourada,BA,Centro Norte Baiano,Nordeste
2901205,Anagé,BA,Centro Sul Baiano,Nordeste
2901304,Andaraí,BA,Centro Sul Baiano,Nordeste
2901353,Andorinha,BA,Centro Norte Baiano,Nordeste
2901403,Angical,BA,Extremo Oeste Baiano,Nordeste
2901502,Anguera,BA,Centro Norte Baiano,Nordeste
2901601,Antas,BA,Nordeste Baiano,Nordeste
2901700,Antônio Cardoso,BA,Centro Norte Baiano,Nordeste
2901809,Antônio Gonçalves,BA,Centro Norte Baiano,Nordeste
2901908,Aporá,BA,Nordeste Baiano,Nordeste
2901957,Apuarema,BA,Centro Sul Baiano,Nordeste
2902054,Araçás,BA,Nordeste Baiano,Nordeste
2902005,Aracatu,BA,Centro Sul Baiano,Nordeste
2902104,Araci,BA,Nordeste Baiano,Nordeste
2902203,Aramari,BA,Nordeste Baiano,Nordeste
2902252,Arataca,BA,Sul Baiano,Nordeste
2902302,Aratuípe,BA,Metropolitana de Salvador,Nordeste
2902401,Aurelino Leal,BA,Sul Baiano,Nordeste
2902500,Baianópolis,BA,Extremo Oeste Baiano,Nordeste
2902609,Baixa Grande,BA,Centro Norte Baiano,Nordeste
2902658,Banzaê,BA,Nordeste Baiano,Nordeste
