ano,cod_produto,produto,uf,estado,municipio,qtd_produzida_ton,area_colhida_ha,valor_producao_reais,produtividade_ton_ha
2015,41151,Laranja,SP,São Paulo,Araraquara,59762.0,3040.0,30576052.0,19.6586
2016,41151,Laranja,SP,São Paulo,Araraquara,48091.0,3032.0,42397746.0,15.8611
2017,41151,Laranja,SP,São Paulo,Araraquara,51414.0,3440.0,51776257.0,14.9459
2018,41151,Laranja,SP,São Paulo,Araraquara,48244.0,3127.0,33152480.0,15.4282
2019,41151,Laranja,SP,São Paulo,Araraquara,63018.0,2934.0,39987607.0,21.4785
2020,41151,Laranja,SP,São Paulo,Araraquara,58316.0,3378.0,69289742.0,17.2635
2021,41151,Laranja,SP,São Paulo,Araraquara,49333.0,3111.0,46182601.0,15.8576
2022,41151,Laranja,SP,São Paulo,Araraquara,50813.0,3179.0,31298687.0,15.984
2023,41151,Laranja,SP,São Paulo,Araraquara,47410.0,3410.0,49497777.0,13.9032
2015,41155,Limão,SP,São Paulo,Araraquara,11734.0,2754.0,14578234.0,4.2607
2016,41155,Limão,SP,São Paulo,Araraquara,13717.0,2492.0,12441991.0,5.5044
2017,41155,Limão,SP,São Paulo,Araraquara,10604.0,2608.0,18121293.0,4.066
2018,41155,Limão,SP,São Paulo,Araraquara,14006.0,2727.0,8628724.0,5.136
2019,41155,Limão,SP,São Paulo,Araraquara,10612.0,2510.0,13108082.0,4.2279
2020,41155,Limão,SP,São Paulo,Araraquara,13776.0,2732.0,14021525.0,5.0425
2022,41155,Limão,SP,São Paulo,Araraquara,11386.0,2319.0,20827424.0,4.9099
2023,41155,Limão,SP,São Paulo,Araraquara,13175.0,2679.0,10273180.0,4.9179
2015,41176,Tangerina,SP,São Paulo,Araraquara,2456.0,676.0,3925003.0,3.6331
2016,41176,Tangerina,SP,São Paulo,Araraquara,2082.0,595.0,,3.4992
2017,41176,Tangerina,SP,São Paulo,Araraquara,1949.0,590.0,2071007.0,3.3034
2018,41176,Tangerina,SP,São Paulo,Araraquara,2550.0,661.0,2397500.0,3.8578
